id,condition,score,sparse.decorated,category
cs20,sparse_other,4.6113306982872035E-3,sparse,other
cs21,sparse_other,4.4563279857397697E-3,sparse,other
cs22,sparse_other,4.9037504742678205E-3,sparse,other
cs23,sparse_other,0,sparse,other
cs24,sparse_other,8.9126559714794689E-4,sparse,other
cs1,sparse_total_time_off_task,0.36067020077036721,sparse,tot
cs2,sparse_total_time_off_task,0.28422066161258241,sparse,tot
cs3,sparse_total_time_off_task,0.17541212995758496,sparse,tot
cs4,sparse_total_time_off_task,0.27140799955999301,sparse,tot
cs5,sparse_total_time_off_task,0.25120181571048966,sparse,tot
cs6,sparse_total_time_off_task,7.4281034474895369E-2,sparse,tot
cs7,sparse_total_time_off_task,0.20904157612466354,sparse,tot
cs8,sparse_total_time_off_task,0.20670841157390904,sparse,tot
cs9,sparse_total_time_off_task,0.35705220517831293,sparse,tot
cs10,sparse_total_time_off_task,0.19570185516557304,sparse,tot
cs11,sparse_total_time_off_task,0.1941887323488852,sparse,tot
cs12,sparse_total_time_off_task,0.49691932108811865,sparse,tot
cs13,sparse_total_time_off_task,0.31040564373897772,sparse,tot
cs14,sparse_total_time_off_task,0.16117429038421704,sparse,tot
cs16,sparse_total_time_off_task,0.16858342460752102,sparse,tot
cs17,sparse_total_time_off_task,0.19154304361529798,sparse,tot
cs18,sparse_total_time_off_task,0.28088561328939715,sparse,tot
cs19,sparse_total_time_off_task,0.22045400854755923,sparse,tot
cs20,sparse_total_time_off_task,0.64481268482439391,sparse,tot
cs21,sparse_total_time_off_task,0.46181284076085816,sparse,tot
cs22,sparse_total_time_off_task,0.47761658118173683,sparse,tot
cs23,sparse_total_time_off_task,0.2828116309304492,sparse,tot
cs24,sparse_total_time_off_task,0.25880768676504062,sparse,tot
cs1,stone_tools_self,4.3478260869565383E-2,decorated,self
cs2,stone_tools_self,1.0126582278480978E-2,decorated,self
cs3,stone_tools_self,2.4456521739130346E-2,decorated,self
cs4,stone_tools_self,0,decorated,self
cs5,stone_tools_self,5.0632911392404891E-3,decorated,self
cs6,stone_tools_self,0,decorated,self
cs7,stone_tools_self,0,decorated,self
cs8,stone_tools_self,1.0126582278480978E-2,decorated,self
cs9,stone_tools_self,0,decorated,self
cs10,stone_tools_self,8.1521739130436654E-3,decorated,self
cs11,stone_tools_self,1.0869565217391264E-2,decorated,self
cs12,stone_tools_self,2.5316455696202445E-3,decorated,self
cs13,stone_tools_self,NA,decorated,self
cs14,stone_tools_self,2.717391304347816E-3,decorated,self
cs16,stone_tools_self,2.5316455696202445E-3,decorated,self
cs17,stone_tools_self,0,decorated,self
cs18,stone_tools_self,0,decorated,self
cs19,stone_tools_self,3.7974683544304479E-2,decorated,self
cs20,stone_tools_self,5.0632911392404889E-2,decorated,self
cs21,stone_tools_self,0,decorated,self
cs22,stone_tools_self,0.11645569620253154,decorated,self
cs23,stone_tools_self,1.5189873417721569E-2,decorated,self
cs24,stone_tools_self,2.5316455696204466E-3,decorated,self
cs1,stone_tools_peer,0.12499999999999986,decorated,peer
cs2,stone_tools_peer,0.10632911392405046,decorated,peer
cs3,stone_tools_peer,3.5326086956521612E-2,decorated,peer
cs4,stone_tools_peer,0.20652173913043517,decorated,peer
cs5,stone_tools_peer,0.21265822784810115,decorated,peer
cs6,stone_tools_peer,7.6086956521739177E-2,decorated,peer
cs7,stone_tools_peer,9.782608695652148E-2,decorated,peer
cs8,stone_tools_peer,0.12405063291139239,decorated,peer
cs9,stone_tools_peer,2.4456521739130346E-2,decorated,peer
